route_id,name,ref,from_stop,to_stop,operator,network,route_type,coord_count
1700755,เมืองทอง-แจ้งวัฒนะ,1,,,,สองแถวเมืองทองธานี,bus,4
1701250,แจ้งวัฒนะ-ติวานนท์,3,,,,รถสองแถวเมืองทองธานี,bus,4
1701251,166 เมืองทองธานี - อนุสาวรีย์ชัยสมรภูมิ,166,,,BMTA,BMTA,bus,25
2148296,รถโดยสารประจำทางด่วนพิเศษ 402: สาทร → ราชพฤกษ์,402,สาทร,ราชพฤกษ์,BTS Group Holdings,BRT,bus,14
2170840,203 สนามหลวง - ท่าอิฐ,203,Sanam Luang,Tha It Bus depot,Bangkok 118,DLT,bus,32
2172576,203 ท่าอิฐ - สนามหลวง,203,Tha It Bus depot,Sanam Luang,Bangkok 118,DLT,bus,35
2172595,3 (2-37) คลองสาน - กรุงเทพอภิวัฒน์,3 (2-37),,,BMTA,BMTA,bus,44
2174648,3 (2-37) กรุงเทพอภิวัฒน์ - คลองสาน,3 (2-37),,,BMTA,BMTA,bus,41
2341849,166 อนุสาวรีย์ชัยสมรภูมิ - เมืองทองธานี,166,Victory Monument,Muang Thong Thani,BMTA,BMTA,bus,21
2341850,522 (1-22E) รังสิต - อนุสาวรีย์ชัยสมรภูมิ,522 (1-22E),,,BMTA,BMTA,bus,39
2341851,522 (1-22E) อนุสาวรีย์ชัยสมรภูมิ - รังสิต,522 (1-22E),Victory Monument,Rangsit,BMTA,BMTA,bus,34
2446915,48 (3-11) ม.รามคำแหง 2 - ท่าช้าง,48 (3-11),,,smart bus,smart bus,bus,57
2447814,145 (3-18) ปากน้ำ - หมอชิต 2,145 (3-18),Pak Nam,Mo Chit 2 Bus Terminal (Chatuchak),BMTA,BMTA,bus,93
2465747,23 (3-5) ปู่เจ้าสมิงพราย - เทเวศร์,23 (3-5),สำโรง,เทเวศร์,BMTA,BMTA,bus,56
2466740,52 (1-6) ปากเกร็ด - หมอชิต 2,52 (1-6),,,smart bus,smart bus,bus,12
2474122,136 (3-47) หมอชิต 2 - คลองเตย,136 (3-47),,,BMTA,BMTA,bus,27
2793245,Unknown,1205,,,,Songthaew,bus,3
3088576,52 (1-6) หมอชิต 2 - ปากเกร็ด,52 (1-6),,,smart bus,smart bus,bus,13
